epoch,training_loss
1,1.9121670084585385
2,1.9121865365113193
3,1.9121865339944246
4,1.9121865339944246
5,1.9121865352147371
6,1.9121665411550726
7,1.912166543061811
8,1.9121265553238296
9,1.912206527215124
10,1.9122065296557493
11,1.9122465162496878
12,1.912206528893054
13,1.912126555933986
14,1.9122065291218626
15,1.9121265537984389
16,1.9122065289693235
17,1.9121265538747083
18,1.9121665416889593
19,1.9121665411550726
20,1.912126554408595
21,1.9121865356723544
22,1.9121865355960848
23,1.9121465460276343
24,1.9121065609590868
25,1.912206529884558
26,1.9121865338418855
27,1.9121665420703071
28,1.9121465483919902
29,1.912186533918155
30,1.9121865336893464
